strat_name,opti,params_strat,sharpe
indicator_strat_creator,strat_optimizer,"{'window_size': 22, 'num_std_dev': 1.1445662005410204, 'reg_method': 'elastic_net'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 11, 'num_std_dev': 1.940631848508302, 'reg_method': 'svr'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 20, 'num_std_dev': 1.5078751350383208, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 14, 'num_std_dev': 1.9147760593180114, 'reg_method': 'no_regression'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 10, 'num_std_dev': 2.4170726317485096, 'reg_method': 'no_regression'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 25, 'num_std_dev': 2.3381384397976657, 'reg_method': 'svr'}",-0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 15, 'num_std_dev': 1.1471501331116967, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 22, 'num_std_dev': 2.2745265755383413, 'reg_method': 'poly'}",-0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 21, 'num_std_dev': 1.7542949575348918, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 24, 'num_std_dev': 2.0779717064026784, 'reg_method': 'bayesian'}",0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 12, 'num_std_dev': 2.117919125426842, 'reg_method': 'no_regression'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 15, 'num_std_dev': 1.16080563846634, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 17, 'num_std_dev': 2.1226059613869066, 'reg_method': 'lasso'}",0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 29, 'num_std_dev': 2.411450214989874, 'reg_method': 'svr'}",-0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 11, 'num_std_dev': 2.456553644140178, 'reg_method': 'linear'}",0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 12, 'num_std_dev': 1.102493947243399, 'reg_method': 'elastic_net'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 30, 'num_std_dev': 1.911802146931779, 'reg_method': 'linear'}",-0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 25, 'num_std_dev': 1.9360290096292638, 'reg_method': 'no_regression'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 16, 'num_std_dev': 2.4483087726912443, 'reg_method': 'no_regression'}",-0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 14, 'num_std_dev': 2.028601452379368, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 22, 'num_std_dev': 1.8268848215878526, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 14, 'num_std_dev': 1.3510356061539284, 'reg_method': 'linear'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 21, 'num_std_dev': 1.1126105638445265, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 22, 'num_std_dev': 1.1473265826808845, 'reg_method': 'linear'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 18, 'num_std_dev': 1.8145910477272262, 'reg_method': 'logistic'}",-0.04
indicator_strat_creator,strat_optimizer,"{'window_size': 11, 'num_std_dev': 1.5786336366329463, 'reg_method': 'poly'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 20, 'num_std_dev': 2.1610430378396503, 'reg_method': 'linear'}",0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 13, 'num_std_dev': 2.4547203900072967, 'reg_method': 'poly'}",0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 21, 'num_std_dev': 1.0166574275563254, 'reg_method': 'ridge'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 10, 'num_std_dev': 1.9389316611955263, 'reg_method': 'bayesian'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 16, 'num_std_dev': 1.0607816628319493, 'reg_method': 'bayesian'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 19, 'num_std_dev': 1.0329026785802646, 'reg_method': 'elastic_net'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 14, 'num_std_dev': 1.2160262613424604, 'reg_method': 'logistic'}",-0.03
indicator_strat_creator,strat_optimizer,"{'window_size': 26, 'num_std_dev': 2.169278554941484, 'reg_method': 'lasso'}",0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 30, 'num_std_dev': 2.4521476956692525, 'reg_method': 'logistic'}",-0.03
indicator_strat_creator,strat_optimizer,"{'window_size': 16, 'num_std_dev': 1.1304687617482108, 'reg_method': 'elastic_net'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 21, 'num_std_dev': 1.1576690988075113, 'reg_method': 'bayesian'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 16, 'num_std_dev': 2.471015416940846, 'reg_method': 'logistic'}",-0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 10, 'num_std_dev': 2.2800712254112714, 'reg_method': 'poly'}",0.03
indicator_strat_creator,strat_optimizer,"{'window_size': 20, 'num_std_dev': 2.4598369829552755, 'reg_method': 'elastic_net'}",-0.0
indicator_strat_creator,strat_optimizer,"{'window_size': 30, 'num_std_dev': 1.9895273547030445, 'reg_method': 'linear'}",-0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 27, 'num_std_dev': 1.1028919038560439, 'reg_method': 'linear'}",0.02
indicator_strat_creator,strat_optimizer,"{'window_size': 12, 'num_std_dev': 1.0379190418162425, 'reg_method': 'bayesian'}",0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 10, 'num_std_dev': 1.3352206284419932, 'reg_method': 'svr'}",-0.01
indicator_strat_creator,strat_optimizer,"{'window_size': 26, 'num_std_dev': 2.016418910595278, 'reg_method': 'logistic'}",-0.04
indicator_strat_creator,strat_optimizer,"{'window_size': 27, 'num_std_dev': 1.7035607341768029, 'reg_method': 'no_regression'}",0.02
indicator_strat_creator,strat_optimizer,"{'RSI_period': 15, 'overbought_threshold': 73, 'oversold_threshold': 27, 'reg_method': 'elastic_net'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 9, 'overbought_threshold': 65, 'oversold_threshold': 28, 'reg_method': 'elastic_net'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 15, 'overbought_threshold': 75, 'oversold_threshold': 33, 'reg_method': 'linear'}",-0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 15, 'overbought_threshold': 72, 'oversold_threshold': 27, 'reg_method': 'elastic_net'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 5, 'overbought_threshold': 73, 'oversold_threshold': 32, 'reg_method': 'linear'}",-0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 13, 'overbought_threshold': 65, 'oversold_threshold': 34, 'reg_method': 'elastic_net'}",0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 15, 'overbought_threshold': 65, 'oversold_threshold': 31, 'reg_method': 'svr'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 9, 'overbought_threshold': 75, 'oversold_threshold': 35, 'reg_method': 'ridge'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 8, 'overbought_threshold': 67, 'oversold_threshold': 32, 'reg_method': 'bayesian'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 11, 'overbought_threshold': 69, 'oversold_threshold': 30, 'reg_method': 'svr'}",-0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 13, 'overbought_threshold': 72, 'oversold_threshold': 28, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 13, 'overbought_threshold': 71, 'oversold_threshold': 32, 'reg_method': 'elastic_net'}",0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 8, 'overbought_threshold': 67, 'oversold_threshold': 32, 'reg_method': 'ridge'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 7, 'overbought_threshold': 68, 'oversold_threshold': 33, 'reg_method': 'linear'}",-0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 5, 'overbought_threshold': 70, 'oversold_threshold': 26, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 9, 'overbought_threshold': 73, 'oversold_threshold': 31, 'reg_method': 'poly'}",-0.03
indicator_strat_creator,strat_optimizer,"{'RSI_period': 7, 'overbought_threshold': 73, 'oversold_threshold': 27, 'reg_method': 'logistic'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 9, 'overbought_threshold': 66, 'oversold_threshold': 29, 'reg_method': 'no_regression'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 11, 'overbought_threshold': 70, 'oversold_threshold': 35, 'reg_method': 'ridge'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 8, 'overbought_threshold': 70, 'oversold_threshold': 25, 'reg_method': 'lasso'}",-0.03
indicator_strat_creator,strat_optimizer,"{'RSI_period': 8, 'overbought_threshold': 74, 'oversold_threshold': 32, 'reg_method': 'ridge'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 6, 'overbought_threshold': 75, 'oversold_threshold': 25, 'reg_method': 'linear'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 15, 'overbought_threshold': 74, 'oversold_threshold': 35, 'reg_method': 'ridge'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 11, 'overbought_threshold': 65, 'oversold_threshold': 34, 'reg_method': 'logistic'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 11, 'overbought_threshold': 65, 'oversold_threshold': 30, 'reg_method': 'elastic_net'}",-0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 8, 'overbought_threshold': 67, 'oversold_threshold': 35, 'reg_method': 'no_regression'}",0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 6, 'overbought_threshold': 69, 'oversold_threshold': 32, 'reg_method': 'linear'}",-0.02
indicator_strat_creator,strat_optimizer,"{'RSI_period': 12, 'overbought_threshold': 75, 'oversold_threshold': 34, 'reg_method': 'lasso'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 7, 'overbought_threshold': 65, 'oversold_threshold': 28, 'reg_method': 'logistic'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 14, 'overbought_threshold': 70, 'oversold_threshold': 34, 'reg_method': 'no_regression'}",-0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 15, 'overbought_threshold': 71, 'oversold_threshold': 25, 'reg_method': 'linear'}",0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 13, 'overbought_threshold': 71, 'oversold_threshold': 35, 'reg_method': 'poly'}",0.02
indicator_strat_creator,strat_optimizer,"{'RSI_period': 6, 'overbought_threshold': 70, 'oversold_threshold': 33, 'reg_method': 'elastic_net'}",-0.02
indicator_strat_creator,strat_optimizer,"{'RSI_period': 6, 'overbought_threshold': 75, 'oversold_threshold': 26, 'reg_method': 'ridge'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 13, 'overbought_threshold': 70, 'oversold_threshold': 31, 'reg_method': 'elastic_net'}",0.0
indicator_strat_creator,strat_optimizer,"{'RSI_period': 6, 'overbought_threshold': 67, 'oversold_threshold': 29, 'reg_method': 'bayesian'}",-0.02
indicator_strat_creator,strat_optimizer,"{'RSI_period': 5, 'overbought_threshold': 65, 'oversold_threshold': 28, 'reg_method': 'lasso'}",-0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 9, 'overbought_threshold': 66, 'oversold_threshold': 25, 'reg_method': 'linear'}",-0.02
indicator_strat_creator,strat_optimizer,"{'RSI_period': 11, 'overbought_threshold': 74, 'oversold_threshold': 28, 'reg_method': 'poly'}",0.01
indicator_strat_creator,strat_optimizer,"{'RSI_period': 11, 'overbought_threshold': 66, 'oversold_threshold': 32, 'reg_method': 'logistic'}",0.01
