,symbol,position,order,close,amount,returns,creturns,strategy,cstrategy,p&l,ptf_value
2024-05-10 02:00:00+02:00,ETH-USD,0.0,0.0,3035.841552734375,0.0,0.0,100000.0,0.0,100000.0,0.0,100000.0
2024-05-10 02:01:00+02:00,ETH-USD,0.0,0.0,3036.653564453125,0.0,0.0002674749998130248,100026.7474999813,0.0,100000.0,0.0,100000.0
2024-05-10 02:02:00+02:00,ETH-USD,0.0,0.0,3032.419677734375,0.0,-0.0013942606981288913,99887.28413718042,-0.0,100000.0,0.0,100000.0
2024-05-10 02:03:00+02:00,ETH-USD,0.0,0.0,3031.543701171875,0.0,-0.0002888704914203934,99858.42964832508,-0.0,100000.0,0.0,100000.0
2024-05-10 02:04:00+02:00,ETH-USD,0.0,0.0,3030.322998046875,0.0,-0.00040266717069858645,99818.21993698819,-0.0,100000.0,0.0,100000.0
2024-05-10 02:05:00+02:00,ETH-USD,0.0,0.0,3030.954833984375,0.0,0.00020850448546482845,99839.03248357616,0.0,100000.0,0.0,100000.0
2024-05-10 02:06:00+02:00,ETH-USD,0.0,0.0,3030.193115234375,0.0,-0.00025131313124804116,99813.94162370193,-0.0,100000.0,0.0,100000.0
2024-05-10 02:07:00+02:00,ETH-USD,0.0,0.0,3031.063232421875,0.0,0.0002871490873388442,99842.60310594288,0.0,100000.0,0.0,100000.0
2024-05-10 02:08:00+02:00,ETH-USD,0.0,0.0,3031.3916015625,0.0,0.0001083346388529899,99853.4195182925,0.0,100000.0,0.0,100000.0
2024-05-10 02:10:00+02:00,ETH-USD,0.0,0.0,3031.05322265625,0.0,-0.00011162494020092489,99842.27338630993,-0.0,100000.0,0.0,100000.0
2024-05-10 02:11:00+02:00,ETH-USD,0.0,0.0,3032.439453125,0.0,0.0004573428333057059,99887.9355345041,0.0,100000.0,0.0,100000.0
2024-05-10 02:13:00+02:00,ETH-USD,0.0,0.0,3030.76953125,0.0,-0.000550685974382475,99832.92864939522,-0.0,100000.0,0.0,100000.0
2024-05-10 02:14:00+02:00,ETH-USD,0.0,0.0,3029.98681640625,0.0,-0.000258256141115151,99807.146182486,-0.0,100000.0,0.0,100000.0
2024-05-10 02:15:00+02:00,ETH-USD,0.0,0.0,3029.901611328125,0.0,-2.8120610183399557e-05,99804.33954463468,-0.0,100000.0,0.0,100000.0
2024-05-10 02:16:00+02:00,ETH-USD,0.0,0.0,3029.130859375,0.0,-0.0002543818420516794,99778.95113289656,-0.0,100000.0,0.0,100000.0
2024-05-10 02:17:00+02:00,ETH-USD,0.0,0.0,3029.010986328125,0.0,-3.957341311419388e-05,99775.00253924327,-0.0,100000.0,0.0,100000.0
2024-05-10 02:18:00+02:00,ETH-USD,0.0,0.0,3029.518310546875,0.0,0.0001674884049743895,99791.7136952749,0.0,100000.0,0.0,100000.0
2024-05-10 02:19:00+02:00,ETH-USD,0.0,0.0,3028.241943359375,0.0,-0.0004213102733383367,99749.67042110104,-0.0,100000.0,0.0,100000.0
2024-05-10 02:20:00+02:00,ETH-USD,0.0,0.0,3028.6142578125,0.0,0.0001229473932693679,99761.93438305877,0.0,100000.0,0.0,100000.0
2024-05-10 02:21:00+02:00,ETH-USD,0.0,0.0,3027.488525390625,0.0,-0.0003716988450975897,99724.8529872639,-0.0,100000.0,0.0,100000.0
2024-05-10 02:22:00+02:00,ETH-USD,0.0,0.0,3028.053466796875,0.0,0.00018660397934195565,99743.4620416706,0.0,100000.0,0.0,100000.0
2024-05-10 02:23:00+02:00,ETH-USD,0.0,0.0,3027.91796875,0.0,-4.4747574096943565e-05,99738.99876371221,-0.0,100000.0,0.0,100000.0
2024-05-10 02:24:00+02:00,ETH-USD,0.0,0.0,3027.304931640625,0.0,-0.00020246159760664752,99718.80544667883,-0.0,100000.0,0.0,100000.0
2024-05-10 02:25:00+02:00,ETH-USD,0.0,0.0,3026.664794921875,0.0,-0.00021145432429335183,99697.71947405375,-0.0,100000.0,0.0,100000.0
2024-05-10 02:26:00+02:00,ETH-USD,0.0,0.0,3026.173095703125,0.0,-0.00016245578947988255,99681.52300232726,-0.0,100000.0,0.0,100000.0
