,symbol,position,order,close
2024-05-10 03:16:00+02:00,ETH-USD,0.0,0.0,3025.69189453125
2024-05-10 03:17:00+02:00,ETH-USD,0.0,0.0,3025.375244140625
2024-05-10 03:18:00+02:00,ETH-USD,0.0,0.0,3024.5703125
2024-05-10 03:19:00+02:00,ETH-USD,0.0,0.0,3025.3955078125
2024-05-10 03:20:00+02:00,ETH-USD,0.0,0.0,3025.865234375
2024-05-10 03:21:00+02:00,ETH-USD,0.0,0.0,3026.022705078125
2024-05-10 03:23:00+02:00,ETH-USD,0.0,0.0,3027.15087890625
2024-05-10 03:25:00+02:00,ETH-USD,0.0,0.0,3026.80419921875
2024-05-10 03:26:00+02:00,ETH-USD,0.0,0.0,3028.141357421875
2024-05-10 03:28:00+02:00,ETH-USD,0.0,0.0,3029.03955078125
2024-05-10 03:29:00+02:00,ETH-USD,0.0,0.0,3026.71484375
2024-05-10 03:30:00+02:00,ETH-USD,0.0,0.0,3027.1533203125
2024-05-10 03:31:00+02:00,ETH-USD,0.0,0.0,3025.71728515625
2024-05-10 03:32:00+02:00,ETH-USD,0.0,0.0,3027.4658203125
2024-05-10 03:33:00+02:00,ETH-USD,0.0,0.0,3028.526123046875
2024-05-10 03:34:00+02:00,ETH-USD,0.0,0.0,3029.127685546875
2024-05-10 03:35:00+02:00,ETH-USD,0.0,0.0,3030.219970703125
2024-05-10 03:36:00+02:00,ETH-USD,0.0,0.0,3032.11962890625
2024-05-10 03:37:00+02:00,ETH-USD,0.0,0.0,3033.052001953125
2024-05-10 03:38:00+02:00,ETH-USD,0.0,0.0,3032.480712890625
2024-05-10 03:39:00+02:00,ETH-USD,0.0,0.0,3032.459228515625
2024-05-10 03:40:00+02:00,ETH-USD,0.0,0.0,3032.53369140625
2024-05-10 03:41:00+02:00,ETH-USD,0.0,0.0,3031.5986328125
2024-05-10 03:42:00+02:00,ETH-USD,0.0,0.0,3031.439697265625
2024-05-10 03:43:00+02:00,ETH-USD,0.0,0.0,3029.860595703125
2024-05-10 03:44:00+02:00,ETH-USD,0.0,0.0,3031.819580078125
2024-05-10 03:45:00+02:00,ETH-USD,0.0,0.0,3031.859130859375
2024-05-10 03:46:00+02:00,ETH-USD,0.0,0.0,3033.8544921875
2024-05-10 03:47:00+02:00,ETH-USD,0.0,0.0,3034.356689453125
2024-05-10 03:48:00+02:00,ETH-USD,0.0,0.0,3034.988037109375
2024-05-10 03:50:00+02:00,ETH-USD,0.0,0.0,3034.696533203125
2024-05-10 03:51:00+02:00,ETH-USD,0.0,0.0,3035.427001953125
2024-05-10 03:53:00+02:00,ETH-USD,0.0,0.0,3041.030029296875
2024-05-10 03:54:00+02:00,ETH-USD,0.0,0.0,3039.033203125
2024-05-10 03:55:00+02:00,ETH-USD,0.0,0.0,3038.01416015625
2024-05-10 03:56:00+02:00,ETH-USD,0.0,0.0,3035.909912109375
