,symbol,position,order,close
2024-05-14 15:30:00+02:00,TSLA,0.0,0.0,175.5500030517578
2024-05-14 15:31:00+02:00,TSLA,0.0,0.0,175.89930725097656
2024-05-14 15:32:00+02:00,TSLA,0.0,0.0,176.38999938964844
2024-05-14 15:33:00+02:00,TSLA,0.0,0.0,176.87339782714844
2024-05-14 15:34:00+02:00,TSLA,0.0,0.0,176.8000030517578
2024-05-14 15:35:00+02:00,TSLA,0.0,0.0,177.13999938964844
2024-05-14 15:36:00+02:00,TSLA,0.0,0.0,177.64599609375
2024-05-14 15:37:00+02:00,TSLA,0.0,0.0,177.1199951171875
2024-05-14 15:38:00+02:00,TSLA,0.0,0.0,176.9600067138672
2024-05-14 15:39:00+02:00,TSLA,0.0,0.0,175.95989990234375
2024-05-14 15:40:00+02:00,TSLA,0.0,0.0,176.32119750976562
2024-05-14 15:41:00+02:00,TSLA,0.0,0.0,176.30589294433594
2024-05-14 15:42:00+02:00,TSLA,0.0,0.0,175.92999267578125
2024-05-14 15:43:00+02:00,TSLA,0.0,0.0,175.9149932861328
2024-05-14 15:44:00+02:00,TSLA,0.0,0.0,176.44000244140625
2024-05-14 15:45:00+02:00,TSLA,0.0,0.0,177.11000061035156
2024-05-14 15:46:00+02:00,TSLA,0.0,0.0,176.90199279785156
2024-05-14 15:47:00+02:00,TSLA,0.0,0.0,177.27479553222656
2024-05-14 15:48:00+02:00,TSLA,0.0,0.0,176.92999267578125
2024-05-14 15:49:00+02:00,TSLA,0.0,0.0,177.30099487304688
2024-05-14 15:50:00+02:00,TSLA,0.0,0.0,177.16009521484375
2024-05-14 15:51:00+02:00,TSLA,0.0,0.0,177.5800018310547
2024-05-14 15:52:00+02:00,TSLA,0.0,0.0,177.7696990966797
2024-05-14 15:53:00+02:00,TSLA,0.0,0.0,177.44000244140625
2024-05-14 15:54:00+02:00,TSLA,0.0,0.0,177.0
2024-05-14 15:55:00+02:00,TSLA,0.0,0.0,176.89840698242188
2024-05-14 15:57:00+02:00,TSLA,0.0,0.0,176.59849548339844
2024-05-14 15:58:00+02:00,TSLA,0.0,0.0,176.3300018310547
2024-05-14 15:59:00+02:00,TSLA,0.0,0.0,176.1999969482422
2024-05-14 16:00:00+02:00,TSLA,0.0,0.0,175.57000732421875
2024-05-14 16:01:00+02:00,TSLA,0.0,0.0,175.40989685058594
2024-05-14 16:02:00+02:00,TSLA,0.0,0.0,175.13999938964844
2024-05-14 16:03:00+02:00,TSLA,0.0,0.0,175.5334930419922
2024-05-14 16:04:00+02:00,TSLA,0.0,0.0,175.5850067138672
2024-05-14 16:05:00+02:00,TSLA,0.0,0.0,175.38499450683594
2024-05-14 16:06:00+02:00,TSLA,0.0,0.0,175.0998992919922
2024-05-14 16:07:00+02:00,TSLA,0.0,0.0,174.77000427246094
2024-05-14 16:08:00+02:00,TSLA,0.0,0.0,174.75999450683594
2024-05-14 16:09:00+02:00,TSLA,0.0,0.0,174.89999389648438
2024-05-14 16:10:00+02:00,TSLA,0.0,0.0,175.14830017089844
2024-05-14 16:11:00+02:00,TSLA,0.0,0.0,175.3242950439453
2024-05-14 16:12:00+02:00,TSLA,0.0,0.0,175.0500030517578
2024-05-14 16:13:00+02:00,TSLA,0.0,0.0,175.3300018310547
2024-05-14 16:14:00+02:00,TSLA,0.0,0.0,175.11000061035156
2024-05-14 16:15:00+02:00,TSLA,0.0,0.0,174.70489501953125
2024-05-14 16:16:00+02:00,TSLA,0.0,0.0,174.7445068359375
2024-05-14 16:17:00+02:00,TSLA,0.0,0.0,174.64999389648438
2024-05-14 16:18:00+02:00,TSLA,0.0,0.0,174.71499633789062
2024-05-14 16:20:00+02:00,TSLA,0.0,0.0,174.6999969482422
2024-05-14 16:21:00+02:00,TSLA,0.0,0.0,175.12710571289062
2024-05-14 16:22:00+02:00,TSLA,0.0,0.0,175.0399932861328
2024-05-14 16:23:00+02:00,TSLA,0.0,0.0,175.37210083007812
2024-05-14 16:24:00+02:00,TSLA,0.0,0.0,175.6154022216797
2024-05-14 16:25:00+02:00,TSLA,0.0,0.0,175.69009399414062
2024-05-14 16:26:00+02:00,TSLA,0.0,0.0,175.8800048828125
2024-05-14 16:27:00+02:00,TSLA,0.0,0.0,175.98500061035156
2024-05-14 16:28:00+02:00,TSLA,0.0,0.0,175.98989868164062
2024-05-14 16:29:00+02:00,TSLA,0.0,0.0,176.10989379882812
2024-05-14 16:30:00+02:00,TSLA,0.0,0.0,176.4582977294922
2024-05-14 16:31:00+02:00,TSLA,0.0,0.0,176.61019897460938
2024-05-14 16:32:00+02:00,TSLA,0.0,0.0,176.41000366210938
2024-05-14 16:33:00+02:00,TSLA,0.0,0.0,176.5399932861328
2024-05-14 16:34:00+02:00,TSLA,0.0,0.0,176.68809509277344
2024-05-14 16:35:00+02:00,TSLA,0.0,0.0,176.47000122070312
2024-05-14 16:36:00+02:00,TSLA,0.0,0.0,176.11500549316406
2024-05-14 16:37:00+02:00,TSLA,0.0,0.0,175.61500549316406
2024-05-14 16:38:00+02:00,TSLA,0.0,0.0,175.55999755859375
2024-05-14 16:39:00+02:00,TSLA,0.0,0.0,175.52000427246094
2024-05-14 16:40:00+02:00,TSLA,0.0,0.0,175.31500244140625
2024-05-14 16:41:00+02:00,TSLA,0.0,0.0,175.25
