,symbol,position,order,close,amount,returns,creturns,strategy,cstrategy,p&l,ptf_value
2024-03-25 01:00:00+01:00,BTC-USD,0.0,0.0,67208.6484375,0.0,0.0,100000.0,0.0,100000.0,0.0,100000.0
2024-03-25 01:01:00+01:00,BTC-USD,0.0,0.0,67286.4375,0.0,0.0011574263775344202,100115.74263775344,0.0,100000.0,0.0,100000.0
2024-03-25 01:02:00+01:00,BTC-USD,0.0,0.0,67216.140625,0.0,-0.001044740628451313,100011.14765387222,-0.0,100000.0,0.0,100000.0
2024-03-25 01:03:00+01:00,BTC-USD,0.0,0.0,67049.8125,0.0,-0.00247452655647023,99763.66741305965,-0.0,100000.0,0.0,100000.0
2024-03-25 01:04:00+01:00,BTC-USD,0.0,0.0,66913.6484375,0.0,-0.0020307896088449166,99561.06839393695,-0.0,100000.0,0.0,100000.0
2024-03-25 01:05:00+01:00,BTC-USD,0.0,0.0,66963.6953125,0.0,0.0007479322405614418,99635.53332689352,0.0,100000.0,0.0,100000.0
2024-03-25 01:06:00+01:00,BTC-USD,0.0,0.0,66875.796875,0.0,-0.0013126282396723132,99504.74891217383,-0.0,100000.0,0.0,100000.0
2024-03-25 01:07:00+01:00,BTC-USD,0.0,0.0,66926.2578125,0.0,0.0007545470836679282,99579.82993027662,0.0,100000.0,0.0,100000.0
2024-03-25 01:08:00+01:00,BTC-USD,0.0,0.0,66885.7109375,0.0,-0.0006058440487378775,99519.50008293903,-0.0,100000.0,0.0,100000.0
2024-03-25 01:09:00+01:00,BTC-USD,0.0,0.0,66907.5,0.0,0.0003257655812369304,99551.92011072797,0.0,100000.0,0.0,100000.0
2024-03-25 01:10:00+01:00,BTC-USD,0.0,0.0,66867.0703125,0.0,-0.0006042624145275193,99491.76462711101,-0.0,100000.0,0.0,100000.0
2024-03-25 01:11:00+01:00,BTC-USD,0.0,0.0,66864.0,0.0,-4.591665951044429e-05,99487.19629763054,-0.0,100000.0,0.0,100000.0
2024-03-25 01:12:00+01:00,BTC-USD,0.0,0.0,66889.296875,0.0,0.00037833325855467817,99524.83561279028,0.0,100000.0,0.0,100000.0
2024-03-25 01:13:00+01:00,BTC-USD,0.0,0.0,66959.8984375,0.0,0.0010554986492373709,99629.88394234514,0.0,100000.0,0.0,100000.0
2024-03-25 01:14:00+01:00,BTC-USD,0.0,0.0,66931.6796875,0.0,-0.00042142761053228336,99587.8971584177,-0.0,100000.0,0.0,100000.0
2024-03-25 01:15:00+01:00,BTC-USD,0.0,0.0,66905.890625,0.0,-0.00038530427774123685,99549.52551563132,-0.0,100000.0,0.0,100000.0
2024-03-25 01:16:00+01:00,BTC-USD,0.0,0.0,66885.2265625,0.0,-0.0003088526631506895,99518.77937956042,-0.0,100000.0,0.0,100000.0
2024-03-25 01:17:00+01:00,BTC-USD,0.0,0.0,66908.9453125,0.0,0.0003546186687105909,99554.07059661571,0.0,100000.0,0.0,100000.0
2024-03-25 01:18:00+01:00,BTC-USD,0.0,0.0,66899.640625,0.0,-0.00013906492557224165,99540.22611719779,-0.0,100000.0,0.0,100000.0
2024-03-25 01:19:00+01:00,BTC-USD,0.0,0.0,66803.71875,0.0,-0.001433817492947108,99397.50359973904,-0.0,100000.0,0.0,100000.0
2024-03-25 01:20:00+01:00,BTC-USD,0.0,0.0,66837.3359375,0.0,0.0005032232954845796,99447.52273906344,0.0,100000.0,0.0,100000.0
2024-03-25 01:21:00+01:00,BTC-USD,0.0,0.0,66886.2421875,0.0,0.0007317205168939189,99520.2905318059,0.0,100000.0,0.0,100000.0
2024-03-25 01:22:00+01:00,BTC-USD,0.0,0.0,66872.34375,0.0,-0.00020779217138614198,99499.61099453933,-0.0,100000.0,0.0,100000.0
2024-03-25 01:23:00+01:00,BTC-USD,0.0,0.0,66918.7421875,0.0,0.0006938359701203085,99568.64740366032,0.0,100000.0,0.0,100000.0
