,symbol,position,order,close,amount,returns,creturns,strategy,cstrategy,p&l,ptf_value
2024-02-13 02:05:00+01:00,BTC-USD,0.844109468,0.8441094678049132,50221.20703125,42392.19634946629,0.0,100000.0,0.0,100000.0,0.0,100000.0
2024-02-13 02:06:00+01:00,BTC-USD,0.841999193,0.0,50204.11328125,42271.822868093084,-0.00034036915897627597,99965.96308410238,-0.0002873088297070717,99971.2691170293,-14.428996215290235,99985.57100378472
2024-02-13 02:07:00+01:00,BTC-USD,0.841999193,0.0,50192.8359375,42262.3273537564,-0.00022462987617813,99943.50774219276,-0.0001891381744656754,99952.36073368948,-23.9483088463558,99976.05169115364
2024-02-13 02:08:00+01:00,BTC-USD,0.841999193,0.0,50206.484375,42273.81932711711,0.000271920030918257,99970.6843839081,0.00022895644659370743,99975.24547103171,-12.42753353186218,99987.57246646813
2024-02-13 02:09:00+01:00,BTC-USD,0.841999193,0.0,50209.8671875,42276.66765251218,6.7377999915972e-05,99977.42020867212,5.67322215552025e-05,99980.91728880782,-9.572069472803372,99990.42793052719
2024-02-13 02:10:00+01:00,BTC-USD,0.17518857,-0.6668106226931987,50174.18359375,8789.943474706522,-0.0007106888695153452,99906.36736892696,-0.0005983994546060029,99921.08876243117,-39.6929288024826,99960.30707119752
2024-02-13 02:11:00+01:00,BTC-USD,0.661370325,0.564674389285686,50179.0234375,33186.917039042,9.646083709477399e-05,99916.00442075447,1.6898836111636408e-05,99922.77731253426,-38.83483009508645,99961.16516990491
2024-02-13 02:12:00+01:00,BTC-USD,0.167343354,-0.4926152849033614,50179.51953125,8397.209100467882,9.886476778845742e-06,99916.992238012,6.538622360330162e-06,99923.4306698403,-38.46674181083461,99961.53325818917
2024-02-13 02:13:00+01:00,BTC-USD,0.167343354,-0.4926152849033614,50176.66015625,8396.73060306504,-5.69829090973915e-05,99911.29867712602,-9.535711129034606e-06,99922.47782887041,-39.17974969766913,99960.82025030233
2024-02-13 02:14:00+01:00,BTC-USD,0.167343355,0.0,50178.63671875,8397.061417841816,3.9392069815826506e-05,99915.2343899789,6.59200108398257e-06,99923.13651795256,-38.68687812562232,99961.31312187438
2024-02-13 02:15:00+01:00,BTC-USD,0.167343355,0.0,50176.00390625,8396.62083416498,-5.246879293984904e-05,99909.99195823414,-8.780303843354652e-06,99922.25916245296,-39.34339085202459,99960.65660914798
2024-02-13 02:16:00+01:00,BTC-USD,0.167343355,0.0,50136.703125,8390.044109576484,-0.0007832584939093691,99831.73660840644,-0.0001310731042030409,99909.16204176555,-49.14335307803839,99950.85664692197
2024-02-13 02:17:00+01:00,BTC-USD,0.167343355,0.0,50141.5625,8390.857293692188,9.692250780600165e-05,99841.41255067715,1.6219337631270007e-05,99910.78250219717,-47.93162929221579,99952.06837070778
2024-02-13 02:18:00+01:00,BTC-USD,0.167343355,0.0,50124.7890625,8388.050370386054,-0.0003345216356191533,99808.01343804818,-5.5979972824596616e-05,99905.1894993078,-52.11421927318221,99947.88578072682
