,symbol,position,order,close
2024-03-25 01:00:00+01:00,BTC-USD,0.0,0.0,67208.6484375
2024-03-25 01:01:00+01:00,BTC-USD,0.0,0.0,67286.4375
2024-03-25 01:02:00+01:00,BTC-USD,0.0,0.0,67216.140625
2024-03-25 01:03:00+01:00,BTC-USD,0.0,0.0,67049.8125
2024-03-25 01:04:00+01:00,BTC-USD,0.0,0.0,66913.6484375
2024-03-25 01:05:00+01:00,BTC-USD,0.0,0.0,66963.6953125
2024-03-25 01:06:00+01:00,BTC-USD,0.0,0.0,66875.796875
2024-03-25 01:07:00+01:00,BTC-USD,0.0,0.0,66926.2578125
2024-03-25 01:08:00+01:00,BTC-USD,0.0,0.0,66885.7109375
2024-03-25 01:09:00+01:00,BTC-USD,0.0,0.0,66907.5
2024-03-25 01:10:00+01:00,BTC-USD,0.0,0.0,66867.0703125
2024-03-25 01:11:00+01:00,BTC-USD,0.0,0.0,66864.0
2024-03-25 01:12:00+01:00,BTC-USD,0.0,0.0,66889.296875
2024-03-25 01:13:00+01:00,BTC-USD,0.0,0.0,66959.8984375
2024-03-25 01:14:00+01:00,BTC-USD,0.0,0.0,66931.6796875
2024-03-25 01:15:00+01:00,BTC-USD,0.0,0.0,66905.890625
2024-03-25 01:16:00+01:00,BTC-USD,0.0,0.0,66885.2265625
2024-03-25 01:17:00+01:00,BTC-USD,0.0,0.0,66908.9453125
2024-03-25 01:18:00+01:00,BTC-USD,0.0,0.0,66899.640625
2024-03-25 01:19:00+01:00,BTC-USD,0.0,0.0,66803.71875
2024-03-25 01:20:00+01:00,BTC-USD,0.0,0.0,66837.3359375
2024-03-25 01:21:00+01:00,BTC-USD,0.0,0.0,66886.2421875
2024-03-25 01:22:00+01:00,BTC-USD,0.0,0.0,66872.34375
2024-03-25 01:23:00+01:00,BTC-USD,0.0,0.0,66918.7421875
2024-03-25 01:24:00+01:00,BTC-USD,0.0,0.0,66940.171875
2024-03-25 01:25:00+01:00,BTC-USD,0.0,0.0,66953.140625
2024-03-25 01:26:00+01:00,BTC-USD,0.0,0.0,66968.0703125
2024-03-25 01:27:00+01:00,BTC-USD,0.0,0.0,66961.6796875
2024-03-25 01:29:00+01:00,BTC-USD,0.0,0.0,66887.6171875
2024-03-25 01:30:00+01:00,BTC-USD,0.0,0.0,66887.6796875
2024-03-25 01:31:00+01:00,BTC-USD,0.0,0.0,66878.984375
2024-03-25 01:32:00+01:00,BTC-USD,0.0,0.0,66880.0703125
2024-03-25 01:33:00+01:00,BTC-USD,0.0,0.0,66878.359375
2024-03-25 01:34:00+01:00,BTC-USD,0.0,0.0,66788.4921875
2024-03-25 01:35:00+01:00,BTC-USD,0.0,0.0,66761.5078125
2024-03-25 01:36:00+01:00,BTC-USD,0.0,0.0,66739.453125
2024-03-25 01:37:00+01:00,BTC-USD,0.0,0.0,66679.15625
2024-03-25 01:38:00+01:00,BTC-USD,0.0,0.0,66602.15625
2024-03-25 01:39:00+01:00,BTC-USD,0.0,0.0,66693.1484375
2024-03-25 01:40:00+01:00,BTC-USD,0.0,0.0,66643.171875
2024-03-25 01:41:00+01:00,BTC-USD,0.0,0.0,66656.7109375
2024-03-25 01:42:00+01:00,BTC-USD,0.0,0.0,66545.0234375
2024-03-25 01:43:00+01:00,BTC-USD,0.0,0.0,66604.65625
2024-03-25 01:44:00+01:00,BTC-USD,0.0,0.0,66651.9453125
2024-03-25 01:45:00+01:00,BTC-USD,0.0,0.0,66636.2890625
2024-03-25 01:46:00+01:00,BTC-USD,0.0,0.0,66622.2734375
2024-03-25 01:47:00+01:00,BTC-USD,0.0,0.0,66608.5390625
2024-03-25 01:48:00+01:00,BTC-USD,0.0,0.0,66619.75
2024-03-25 01:49:00+01:00,BTC-USD,0.0,0.0,66604.53125
2024-03-25 01:50:00+01:00,BTC-USD,0.0,0.0,66557.6640625
2024-03-25 01:51:00+01:00,BTC-USD,0.0,0.0,66574.828125
2024-03-25 01:52:00+01:00,BTC-USD,0.0,0.0,66558.6015625
