,symbol,position,order,close
2024-02-05 01:29:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42566.3125
2024-02-05 01:30:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42563.90234375
2024-02-05 01:31:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42557.86328125
2024-02-05 01:32:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42534.1953125
2024-02-05 01:33:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42530.453125
2024-02-05 01:34:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42519.71484375
2024-02-05 01:35:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42507.21875
2024-02-05 01:36:00+01:00,BTC-USD,0.4172733834095266,0.4172733834095266,42498.890625
2024-02-05 01:37:00+01:00,BTC-USD,1.032308443230574,0.616078244230574,42479.97265625
2024-02-05 01:38:00+01:00,BTC-USD,1.032308443230574,0.616078244230574,42469.1171875
2024-02-05 01:39:00+01:00,BTC-USD,1.032308443230574,0.616078244230574,42468.0859375
2024-02-05 01:40:00+01:00,BTC-USD,1.032308443230574,0.616078244230574,42458.890625
2024-02-05 01:41:00+01:00,BTC-USD,1.032308443230574,0.616078244230574,42415.16796875
2024-02-05 01:42:00+01:00,BTC-USD,1.032308443230574,0.616078244230574,42413.65625
2024-02-05 01:43:00+01:00,BTC-USD,0.5341396511957509,-0.496628595804249,42410.73828125
2024-02-05 01:44:00+01:00,BTC-USD,0.5341396511957509,-0.496628595804249,42429.8046875
2024-02-05 01:45:00+01:00,BTC-USD,0.5341396511957509,-0.496628595804249,42438.125
2024-02-05 01:46:00+01:00,BTC-USD,0.5341396511957509,-0.496628595804249,42418.06640625
2024-02-05 01:47:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42416.87890625
2024-02-05 01:48:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42405.7421875
2024-02-05 01:49:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42403.28515625
2024-02-05 01:50:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42393.3046875
2024-02-05 01:51:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42386.74609375
2024-02-05 01:52:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42372.17578125
2024-02-05 01:53:00+01:00,BTC-USD,0.3299755649224769,-0.2041640870775231,42361.6015625
